term,description
Fond d'orgue (фр. фон д'орг),основной [открытый] лабиальный голос в органе
Fondu (фр. фондю),"замирая, истаивая [Равель]"
"Force (фр. форс, англ. фоос)","сила; à toute force (фр. а тут форс) - со всей силой; with force (англ. уйз фоос) - сильно, со значением"
Fork (англ. фок),камертон; буквально вилка
"Forlana (ит. форлана), furlana (фурлана)",старинный итал. танец
"Form (нем. форм), Form (англ. фоом), Forma (ит. форма), Forme (фр. форм)",форма
Formenlehre (нем. формэнлерэ),учение о муз. формах
"Fort (фр. фор), Forte (ит. фортэ)",сильно
Forte possibile (фортэ посейбиле),как можно сильнее
Fortepiano (ит. фортэпиано),фортепиано; буквально громко – тихо
Fortissimo (фортиссимо),очень сильно
Fortsetzend (нем. фортзэтцэнд),продолжая
Fortspinnung (нем. фортшпиннунг),развитие мелодии из первичного тематич. элемента («зерна»)
Forza (ит. форца),"сила; con forza (кон форца) - сильно; con tutta Forza (кон тутта форца) - как можно громче, с полной силой"
"Forzando (ит. форцандо), Forzare (форцарэ), Forzato (форцато)","акцентировать звук; то же, что sforzando"
Foudroyant (фр. фудруайян),как удары грома [Скрябин. Соната № 7]
Fouet (фр. фуэ),бич [ударный инструмент]
Fougueux (фр. фуге),"бурно, порывисто"
Fourchette tonique (фр. фуршэт тоник),камертон
Fourniture (фр. фурнитюр),"микстура (смешан, регистр органа); то же, что plein jeu"
Fours (англ. фóос),"четверки, чередование солистов по 4 такта (в джазе)"
Fourth (англ. фóотс),"кварта; буквально, 4- й [звук]"
Four,three chord (англ. фоотсрикоод) – терцквартаккорд
Foxtrot (англ. фокстрот),фокстрот (танец)
Fragile (фр. фражиль),хрупко
"Fragment (фр. фрагман), Frammento (ит. фраммэнто)",отрывок
Francaise (фр. франсэз),название контрданса в Германии
"Francamente (ит. франкамэнтэ), Franco (франко), con franchezza (кон франкэцца)","смело, свободно, уверенно"
Frappe (фр. фрапэ),1) опускание дирижерской палочки для указ. сильной доли такта; 2) акцентировано
Frappez les accords sans lourdeur (фр. фрапэ лез акор сан люрдэр),аккорды исполнять без излишней тяжести [Дебюсси]
Frase (ит. фразэ),фраза
Fraseggiando (ит. фразэджандо),отчетливо фразируя
Frauenchor (нем. фрауэнкор),женский хор
Frech (нем. фрэх),"дерзко, вызывающе"
"Freddamente (ит. фрэддамэнтэ), Freddo (фрэддо), con Freddezza (кон фрэддэцца)","холодно, равнодушно"
Fredon (фр. фрэдон),1) припев; 2) трель
Fredonner (фрэдонэ),напевать
"Free (англ. фри), Freely (фрили), Frei (нем. фрай)","свободно, непринужденно"
"Free in time (англ. фри ин тайм), Frei im Takt (нем. фрай им такт)",ритмически свободно
Freier Satz (нем. фрайер затц),свободный стиль
Fremissant (фр. фрэмисан),трепетно
French horn (англ. фрэнч хóон),1) валторна; 2) охотничий рог
Frenetico (ит. фрэнэтико),"неистово, исступленно"
"Frescamente (ит. фрэскамэнтэ), Fresco (фрэско), con freschezza (кон фрэскэцца)",свежо
Freschezza (фрэскэцца),свежесть
"Fresh (англ. фрэш), Freshly (фрэшли)",свежо
Frets (англ. фрэтс),лады на струнных щипковых инструментах
Fretta (ит. фрэтта),"поспешность, торопливость; con fretta (кон фрэтта), in fretta (ин фрэтта), Frettoloso (фрэттолóзо) - поспешно, торопливо"
Frettando (фрэттандо),ускоряя
Freudig (нем. фрóйдих),"радостно, весело"
Fricassee (фр. фрикасэ),"1) старинное название комических попурри; 2) барабанная дробь, служащая сигналом для сбора"
Friction drum (англ. фрикшн драм),ударный инструмент (звук извлекается посредством легкого трения влажного пальца о мембрану)
Frisen (нем. фриш),"свежо, бодро"
Friska (венг. фришка),"2- я, быстрая часть чардаша"
Frivolo (ит. фриволо),"фривольно, легкомысленно"
Frog (англ. фрог),колодочка смычка; with the frog (уйз дэ фрог) - [играть] у колодочки
Froh (нем. фро); Frohlich (фрэлих),"весело, радостно"
"Froh und heiter, etwas lebhaft (нем. фро унд хайтэр, этвас лебхафт)","радостно, весело, довольно оживленно [Бетховен. «Довольство жизнью»]"
Froidement (фр. фруадэман),"холодно, равнодушно"
Frolicsome finale (англ. фрóликсэм финали),игривый (резвый) финал [Бриттен. Простая симфония]
Frosch (нем. фрош),колодочка смычка; am Frosch (ам фрош) - [играть] у колодочки
Frotter avec le pouce (фр. фротэ авэк лё пус),тереть большим пальцем (прием игры на бубне) [Стравинский. «Петрушка»]
Frottez (фр. фротэ),способ извлечения звука посредством трения одной тарелки о др.
Frottola (ит. фрбттола),полифоническая песня 15- 16 вв.
Fruher (нем. фрюэр),"прежде, ранее"
Fruheres Zeitmass (фрюэрэс цайтмас),прежний темп; wie fruher (ви фрюэр) - как прежде
Frullato (ит. фруллато),прием игры на духовом инструменте без трости (вид тремоло)
Frusta (ит. фруста),"бич (ударный инструмент); то же, что flageilo"
"Fuga (лат., ит. фуга), Fuge (нем. фуге), Fugue (фр. фюг, англ. фьюг)",фуга
Fuga doppia (ит. фуга доппиа),двойная фуга
"Fuga libera (фуга либэра), Fuga sciolta (фуга шольта)",свободная фуга
Fuga obbligata (фуга облигата),строгая фуга
Fugara (ит. фугара),один из регистров органа
Fugato (ит. фугато),1) фугированный; 2) эпизод в виде фуги
Fugenthema (нем. фугентэма),тема фуги
Fughetta (ит. фугэтта),небольшая фуга
Fugue (фр. фюгэ),фугированный
Fuhrer (нем. фюрэр),тема фуги; 2) начальный голос в каноне; 3) путеводитель по концертам и операм
Fulgurant (фр. фюльгюран),сверкая [Скрябин. «Прометей»]
Full (англ. фул),полный
Full bow (фул бóу),(играть) полным смычком
Full organ (англ. фул огэн),звучание «полного органа» (органное tutti)
Fundamentalbass (нем. фундаментальбас),основной бас
"Funebre (ит. фунэбрэ), Funebre (фр. фюнэбр)","траурный, похоронный; marche funebre (фр. марш фюнэбр), marcia funebre (ит. марча фунэбрэ) - похоронный марш"
Funerailles (фр. фюнэрай),похоронное шествие
Funeral (англ. фьюнэрэл),"похороны, заупокойная служба"
"Funerale (ит. фунэрале), Funereal (англ. фьюниэриэл)","похоронный, траурный"
Funesto (ит. фунэсто),"мрачно, скорбно"
Funfliniensystem (нем. фюнфлиниенсистэм),5-линейный нотоносец
Funfstufige Tonleiter (нем. фюнфштуфиге тóнляйтер),"пентатоника, 5-ступенный лад"
Funky (англ. фанки),большое отклонение от темпериров. строя в некоторых стилях джазовой музыки
Funzioni (ит. фунциони),"духовные концерты, оратории"
Fuoco (ит. фуоко),"огонь; con fuoco (кон фуоко) - с жаром, пламенно, страстно"
Fur (нем. фюр),"для, на, за"
"Fureur (фр. фюрэр), Furia (ит. фуриа)","ярость; con furia (кон фуриа), Furioso (фуриозо), Furieux (фр. фюрьё), Furious (англ. фьюэриэс) - яростно, неистово"
Furiant (чеш. фуриант),чеш. нар. танец
Furore (ит. фурорэ),"1) ярость, бешенство; 2) фурор"
Fusa (лат. фуза),7- я по величине длительность мензуральной нотации
Fusee (фр. фюзэ),быстрый пассаж
Fuyant (фр. фюйян),"ускользая, скользя [Дебюсси]"
G (нем. гэ; англ. джи),1) буквенное обозначение. звука соль; 2) скрипичный ключ
Gabelgriff (нем. габэльгрифф),вилочная аппликатура (на деревянном духовом инструменте)
"Gagliarda (ит. гальярда), Gaillarde (фр. гайярд)",гальярда (старинный быстрый танец)
Gagliardo (ит. гальярдо),"бурно, сильно"
"Gai (фр. гэ), Gaiment, gatment (гэман), Gaio (ит. гайо)","весело, живо, оживленно"
Gala (ит. гала),"торжество, спектакль-гала (парадный спектакль); concerto gala (ит. кончэрто гала) - необычный концерт"
"Galant (фр. галян), Galantamente (ит. галантамэнтэ), Galante (галантэ)","галантно, элегантно, изящно"
"Gallop (англ. галэп), Galop (фр. гало), Galopp (нем. галоп), Galoppo (ит. галоппо)",галоп (танец)
Galoubet (фр. галубэ),малая продольная флейта
Gamba (ит. гамба),сокр. от viola da gamba
"Gamma (ит. гамма), Gamme (фр. гам)","гамма, звукоряд"
"Gamma naturale (ит. гамма натурале), Gamme naturelle (фр. гам натюрэль)",натуральный звукоряд
Gamut (англ. гамэт),диапазон [голоса или инструмента]
Gang (нем. ганг),пассаж; буквально проход
Ganz (нем. ганц),"целый, весь"
Ganzen Bogen (нем. ганцэн боген),"[играть] всем смычком; то же, что mit ganzem Bogen"
"Ganze Note (нем. ганцэ нотэ), Ganztaktnote (ганцтактнотэ)",целая нота
Ganze Pause (нем. ганцэ паузэ),целая пауза
Ganze Takte schlagen (нем. ганцэ тактэ шлаген),дирижировать целыми тактами
Ganzlich (нем. гэнцлих),"полностью, совершенно"
GanzschluB (нем. ганцшлюс),полный каданс (на тонике)
Ganzton (нем. ганцтон),целый тон
"Ganztonleiter (нем. ганцтонляйтер), Ganztonskala (ганцтонскала)",целотонная гамма
"Garbato (ит. гарбато), con garbo (кон гарбо)","вежливо, деликатно"
Garder (фр. гардэ),сохранять
Gassenhauer (нем. гассэнхауэр),1) уличная песенка; 2) модная песенка; 3) в 16 в.- вокальная серенада
Gauche (фр. гош),"1) левая [рука]; 2) неуклюже, неловко [Дебюсси]"
Gaudioso (ит. гаудиозо),радостно
"Gavotta (ит. гавотта), Gavotte (фр. гавот, англ. гэвот), Gavotte (нем. гавоттэ)",гавот (франц. танец)
Gay (англ. гэй),"весело, веселый"
Gazouiller (фр. газуйэ),"щебетать, журчать, лепетать"
Geblasen (нем. геблязэн),исполнять на духовом инструменте
Gebrochen (нем. геброхэн),арпеджируя; буквально разбивая
Gebunden (нем. гебундэн),связно (легато)
"Gedackt, Gedakt (нем. гедакт)",закрытые лабиальные трубы органа
Gedampft (нем. гедэмпфт),"закрытый, приглушенный звук"
Gedeckt (нем. гедэкт),закрытый звук
Gedehnt (нем. гедэнт),"растягивая, протяжно"
Gefahrte (нем. гефэртэ),1) ответ в фуге; 2) имитирующий голос в каноне
Gefluster (нем. гефлюстэр),"шёпот, шелест; wie ein Gefluster (ви айн гефлюстэр) - как шёпот, шелест [Малер. Симфония № 8]"
Gefühl (нем. гефюль),"чувство, ощущение"
Gefuhlvoll (нем. гефюльфоль),с чувством
Gegenbewegung (нем. гегенбэвегунг),1) противоположное движение голосов; 2) обращение темы Gegenfuge (нем. гегенфугэ) - контра-фуга
Gegengesang (нем. гегенгезанг),антифон
Gegensatz (нем. гегензац),противосложение [в фуге]
Gehalten (нем. гехальтэн),сдержанно
Geheimnisvoll (нем. гехаймнисфоль),таинственно
Gehend (нем. геэнд),"указание умеренного темпа; то же, что andante"
Gehende Viertel (нем. геэндэ фиртэль),"темп умеренный, считать четвертями; подобные обознач. встречаются в произведениях немецких композиторов 20 в."
Gehor (нем. гехёр),слух
Geige (нем. гайге),1) старинное название смычковых инструментов; 2) скрипка
Geigenharz (нем. гайгенхарц),канифоль
Geigenprinzipal (нем. гайгенпринципаль),один из регистров органа
Geistliche Musik (нем. гайстлихэ музик),"культ, музыка"
Geloso (ит. джэлозо),ревниво
Gemachlich (нем. гемэхлих),спокойно
Gemass (нем. гемэс),"соответственно, сообразно [с чем-либо]"
Gemass dem verschiedenen Ausdruck in den Versen piano und forte (нем. и ит. гемэс дэм фэршидэнэн аусдрук ин дэн фэрзэн пиано унд фортэ),"в соответствии с содержанием стихов (текста) исполнять то тихо, то громко [Бетховен. «Человек слова»]"
Gemassigt (нем. гемэсихт),"сдержанно, умеренно"
Gemere (ит. джэмэрэ),скорбно
Gemessen (нем. гемэссэн),"точно, определенно, размеренно"
Gemischt (нем. гемишт),смешанный
Gemischter Chor (гемиштэр кор),смешанный хор
Gemütlich (нем. гемютлих),спокойно; буквально уютно
Genau (нем. генау),"точно, например, Genau im Takt (генау им такт) - ритмически точно"
Generalbass (нем. генэральбас),генерал-бас
Generalmusikdirektor (нем. генэральмузикдирэктор),в странах нем. яз. главный музыкальный руководитель оперн. театра или симф. орк.
Generalpause (нем. генэральпаузэ),генеральная пауза
"Genere (ит. джэнэрэ), Genre (фр., англ. жанр)",жанр
Genero chico (исп. хэнеро чико),жанр муз. спектаклей в Испании Generoso (ит. джэнэрозо) – благородно
Genis (ит. джэнис),альтхорн [Верди. «Отелло»]
"Gentil (фр. жанти), Gentile (ит. джэнтиле), Gently (англ. джэнтли)","нежно, спокойно, мягко"
Genus (лат. гэнус),"род, наклонение, разновидность"
Genus chromaticum (гэнус хро матикум),хроматический звукоряд
Genus diatonicum (гэнус диатоникум),диатонический звукоряд
Genus enharmonicum (гэнус энхармоникум),энгармонический звукоряд (античный термин - 1/4- тоновый звукоряд)
Gepeitscht (нем. гепайчт),ударом хлыста; wie gepeitscht (ви гепайчт) - как бы ударом хлыста [Малер. Симфония № 6]
Gerissen (нем. гериссэн),отрывисто
Gesamtausgabe (нем. гэзамтаусгабэ),полное собрание сочинений
Gesamtkunstwerk (нем. гэзамткунствэрк),"художественное произведение, основанное на синтезе искусств (термин Вагнера)"
Gesang (нем. гезанг),"пение, песня"
Gesangvoll (гезангфоль),певуче
Geschlagen (нем. гешлаген),ударяя
Geschlecht (нем. гешлехт),"наклонение [мажорное, минорное]"
Geschleppt (нем. гешлепт),затягивая
Geschliffen (нем. гешлиффэн),"протянуто, растянуто, замедленно"
Geschwind (нем. гешвинд),"скоро, поспешно, проворно"
Gesellschaftskanon (нем. гезэльшафтсканон),"бытовой, легко исполнимый канон"
Gesteigert (нем. гештайгерт),"повышенно, усиленно"
Gestopft (нем. гештопфт),"закрытый, застопоренный звук (прием игры на валторне)"
Gestossen (нем. гештоссэн),отрывисто
Gestrichen (нем. гештрихэн),"вести смычком; то же, что arco; weich Gestrichen (вайх гештрихэн) - мягко вести смычком"
Gesungen (нем. гезунген),певуче
Geteilt (нем. гетайльт),"разделение однородных струнных инструментов, голосов хора на 2 или больше партий"
Getragen (нем. гетрагэн),протянуто
Gettato (ит. джэттато),штрих на смычковых инструментах; буквально бросок
Gewichtig (нем. гевихтих),"тяжело, важно"
Gewinnen (нем. гевиннэн),"достигать; an Ton gewinnend (ан тон гевиннэнд) - достигая большего звука, добавляя звук"
Gewirbelt (нем. гевирбэльт),исполнять дробью [на ударных инструментах]
Gewohnlich (нем. гевёнлих),"обычно, обычным способом"
Gewonnen (нем. гевоннэн),достигнутый; im gewonnenen Zeitmass (им. гевоннэнэн цайтмас) - в достигнутом темпе
Gezischt (нем. гецишт),"шипеть Gezogen (нем. гецоген) - затягивая, медлительно"
Ghiribizzoso (ит. гирибиццозо),"капризно, причудливо"
"Giga (ит. джига), gigue (фр. жиг)","жига: 1) старин, быстрый танец; 2) старинный смычковый инструмент"
"Giocondo (ит. джокондо), Giocosamente (джокозамэнтэ), Giocoso (джокозо), Gioiso (джоёзо)","радостно, весело, игриво"
"Gioviale (ит. джовиале), con giovialita (кон джовиалита)","бодро, весело"
Gitana (исп. хитана),"гитана, цыганка; цыганский танец"
Gitarre (нем. гитарэ),гитара
Giu (ит. джу),"вниз; in giu (ин джу) - движение вниз [смычком, рукой]"
"Giubilante (ит. джубилантэ), con giubilо (кон джубило)","торжественно, радостно, ликующе"
Giuoco (ит. джуоко),"игра, шутка"
Giusta (ит. джуста),"чистая [кварта, квинта и т. д.]"
Giusto (ит. джусто),"правильно, соразмерно, точно; tempo giusto (ит. тэмпо джусто) - 1) темп сообразно характеру пьесы; 2) не отклоняясь от метра и темпа"
Glanzend (нем. глэнцэнд),блестяще
Glasharmonika (нем. глясхармоника),стеклянная гармоника
Glee (англ. гли),"вид многоголосы, песни"
Gleich (нем. гляйх),"1) ровный, одинаковый; 2) сразу же"
Gleicher Kontrapunkt (нем. гляйхэр контрапункт),ровный контрапункт (нота против ноты)
Gleichmassig (нем. гляйхмэссих),"ровно, равномерно"
Glide (англ. гляйд),1) плавное движение; 2) хроматическая гамма
Glide the full bow (англ. гляйд ди фул боу),плавно вести по струнам полным смычком
Gli ornamenti ad libitum (ит.,лат. льи орнамэнти ад либитум) - украшать мелодию или пассаж по желанию
"Glissando (глиссандо, от фр. glisser",скользить) – глиссандо
Glissando full length of bow (англ. глиссандо фул ленте ов боу),плавно вести всем смычком
Glissando mit der ganzen Lange des Bogens (нем. глиссандо мит дэр ганцэн лёнгэ дэс богенс),плавно вести всем смычком
Glissando touches blanches (фр. глиссандо туш блянш),глиссандо по белым клавишам
Glisse (фр. глиссэ),глиссандо
Glisser tout le long de I'archet (фр. глиссэ ту лё лон дэльаршэ),плавно вести всем смычком
Glocke (нем. глокэ),колокол
Glocken (глокэн),колокола
Glockengelaute (нем. глокэнгелёйтэ),перезвон колоколов
Glockenspiel (нем. глокэншпиль),набор колокольчиков
Gloria (лат. глориа),«Слава» - начальное слово одной из частей мессы
Glosa (исп. глоса),вид вариаций в испанской музыке 16 в.
Gluhend (нем. глюэнд),пламенно
"Gondoliera (ит. гондольера), Gondellied (нем. гондэльлид)","венец, песня лодочников"
"Gong (ит., фр., англ. гонг), Gong (нем. гонг)",гонг
Go on at once (англ. гоу он эт уанс),"сразу же перейдите [к следующей части сочинения]; то же, что attacca"
Gorgheggio (ит. горгэджо),горловая трель
Gorgia (ит. горджа),"вок. украшения, колоратура (термин 16 в.)"
"Gospel, gospel songs (англ. госпэл, госпэл соне)",религиозные песни сев. амер. негров
Gracee (фр. грас),"изящество, грация"
"Grace (англ. грэйс), Grace note (грэйс ноут)",мелизм
"Graceful (англ. грэйсфул), Gracieusement (фр. грасьёзман), Gracieux (грасьё)","грациозно, изящно"
Gracile (ит. грачиле),"тонко, слабо"
"Gradation (фр. градасьон, англ. грэдэйшн), Gradazione (ит. градационэ)","градация, постепенность [при усил. или уменьш. звука и движения]"
Gradevole (ит. градэволе),приятно
Grado (ит. градо),"ступень, степень"
Grado ascendente (градо ашэндэнтэ),движение на ступень вверх
Grado discendente (градо дишэндэнтэ),движение на ступень вниз
Graduate (лат. градуале),градуал - сборник хоровых песнопений католич. месс
"Gradually (англ. грэдьюэли), Gradualmente (ит. градуальмэнтэ), Graduellement (фр. градюэльман)",постепенно
Gradually dying away (англ. грэдьюэли дайин эуэй),постепенно замирая
Gradus (лат. градус),ступень
"Gran (ит. гран), Grande (грандэ), Grand (фр. гран, англ. грэнд)","большой, великий"
Gran cassa (ит. гран касса),большой барабан
"Grandamente (ит. грандамэнтэ), Grandement (фр. грандман)","величественно, торжественно"
Grand cornet (фр. гран корнэ),один из регистров органа
Grandezza (ит. грандэцца),величие; con grandezza (ит. кон грандэцца) - величаво
Grandioso (ит. грандиозо),"величественно, великолепно, грандиозно"
Grandisonante (ит. грандисонантэ) очень звучно,
Grand jeu (фр. гран же),звучание «полного органа» (орг. tutti)
Grand Opera (фр. гранд опэра),Большая опера
"Grand'organo (ит. гранд'органо), Grand orgue (фр. гранд орг)",главная клавиатура органа
Grand piano (англ. грэнд пьяноу),рояль
Grappa (ит. граппа),акколада
"Grave (ит. гравэ, фр. грав, англ. грэйв), Gravement (фр. гравман), Gravemente (ит. гравэмэнтэ)","значительно, торжественно, тяжело"
Gravita (ит. гравита),значительность; con gravita (кон гравита) – значительно
Gravitatisch (нем. гравитэтиш),с важностью
Grazia (ит. грациа),"грация, изящество; con grazia (кон грациа), Grazioso (грациозо) - грациозно, изящно"
Great (англ. грэйт),"большой, великий"
Great organ (грэйт огэн),главная клавиатура органа
Grell (нем. грэль),резко
Grelots (фр. грэло),"бубенцы; то же, что clochettes"
Griffbrett (нем. гриффбрэт),"гриф у струнных инструментов; am Griffbrett (ам гриффбрэт), auf dem Griffbrett (ауф дэм гриффбрэт) - [играть] у грифа (на смычковых инструментах)"
Griff loch (нем. грифлох),звуковое отверстие у духовых инструментов
Grob (нем. гроб),грубо
"Groppetto (ит. гроппэтто), Groppo (гроппо)",группетто
"Gros (фр. rpo), Gross (англ. гроус), Gross (нем. грос), Grosso (ит. гроссо)","большой, крупный"
Grossartig (нем. гроссартих),грандиозно
Grosse caisse (фр. грос кэс),большой барабан
Gross flute (англ. гроус флют),поперечная флейта
Grosser Strich (нем. гроссэр штрих),"[играть] широким движением смычка, полным смычком"
Grosse Trommel (нем. гроссэ троммэль),большой барабан
Gross gedeckt (нем. грос гедэкт),один из регистров органа
Grossvatertanz (нем. гросфатэртанц),"гросфатер (старин, танец)"
Grotesk (нем. гротэск),"причудливый, фантастичный, гротескный"
Groteske (гротэскэ),гротеск
"Grotesque (фр. гротэск, англ. гроутэск), Grottesco (ит. гроттэско)","1) причудливый, фантастичный, гротескный 2) гротеск"
"Ground (англ. граунд), Ground bass (граунд бэйс)",повторяющаяся тема в басу (basso ostinato)
Group (англ. груп),небольшой вокально-инструментальный ансамбль поп-музыки
Groupe (фр. груп),"группа нот, соединен, одной вязкой"
Growl (англ. граул),прием игры на медном инструменте в джазе; буквально жужжание
Grundharmonie (нем. грундхармони),основная гармония; в джазе гармоническая схема для импровизации
Grundlage (нем. грундлаге),"основ, вид [аккорда]"
Grundstimme (нем. грундштиммэ),1) бас как основа гармонии; 2) одна из групп регистров в органе; буквально основной голос
Grundton (нем. грундтон),"1) основ, тон в генерал-басе; 2) в гармонии - тоника; 3) в акустике - нижний звук комбинационного тона; буквально основной тон"
"Gruppetto (ит. группэтто), Gruppo (группо)",группетто
Gruppierung (нем. группирунг),группировка [нот]
Guaracha (исп. гуарача),кубинский танец
"Guerrier (фр. гэрье), Guerriero (ит. гуэррьеро)",воинственно
Guida (ит. гуйда),1) тема фуги; 2) начальнай голос в каноне
Guiro (исп. гиро),гуиро (ударный инструмент латино- амер. происхождения)
Guisa (ит. гуиза),"образ, вид; a guisa - в виде, характере, например, a Guisa di giga (а гуиза ди джига) - в характере жиги"
"Guitar (англ. гитаа), Guitare (фр. гитар), Guitarra (исп. гитарра)",гитара
"Guitare d'amour (фр. гитар д'амур) смычковый инструмент, Шуберт написал для него сонату; то же, что arpeggione",
Gusto (ит. густо),вкус
"Gustoso (густозо), con gusto (кон густо)",со вкусом
Gut (нем. гут),"хорошо, например, Gut hervortretend (гут хэрфортрэтэнд) - хорошо выделяя"
Gut string (англ. гат стрин),жильная струна
Guttural (фр. гютюраль),гортанный [звук]
Gymel (англ. гимэл),"гимель (форма старин, полифонии); то же, что cantus gemellus"
H (нем. ха),буквенное обозначение звука си
Habanera (исп. аванэра),"хабанера (испанский танец кубинского происхождения); буквально, гаванская, от Habana – Гавана"
Hackbrett (нем. хáкбрэт),цимбалы
Halbbass (нем. хáльббас),небольшой контрабас
Halbe Lage (нем. хáльбэ лáге),полупозиция
"Halbe Note (нем. хáльбэ нóтэ), Halbtaktnote (хáльбтактнóтэ)",1/2 нота
Halbe Noten schlagen (нем. хáльбэ нóтэн шлáген),отмечать половинные ноты
Halbe Pause (нем. хáльбэ пáузэ),1/2 пауза
"Halbkadenz (нем. хáльбкадэнц), Halbschluss (хáльбшлюс)",половинный каданс
Halbsatz (нем. хáльбзац),предложение (половина периода)
Halbton (нем. хáльбтон),полутон
Haletant (фр. альтáн),задыхаясь [Скрябин. Соната № 10]
Half (англ. хáаф),половина
Half cadence (хáаф кэйдэнс),половинный каданс
Half tone (хáаф тóун),полутон
Halfte (нем. хэльфтэ),половина
Hallen (нем. хáллен),звучать
Hailing (норв. хáллинг),норвежский танец
Hals (нем. хальс),шейка у смычковых инструментов
"Hammer (нем. хáммэр), hammer (англ. хáмэ)",молоточек; 1) у фортепиано; 2) для игры на ударных инструментах
Hammerklavier (нем. хáммэрклавир),"старин, назв. фортепиано"
Hand (нем. ханд),рука
Handlage (хáндлаге),положение руки
Handbassi (нем. хáндбасси),старинный басовый смычковый инструмент
Handharmonika (нем. хáндхармóника),"ручная гармоника; то же, что Ziehharmonika"
Handlung (нем. хáндлюнг),"действие, акт"
Hard bop (англ. хáад боп),"один из стилей джазового искусства; буквально твердый, боп"
Hard felt stick (англ. хáад фэлт стик),[играть] палочкой с головкой из твердого войлока
Hardiment (фр. ардимáн),"смело, отважно, дерзко"
Harfe (нем. хáрфэ),арфа
Harfeninstrumente (нем. хáрфэнинструмэнтэ),струнные щипковые инструменты без грифа
Harlem jump (англ. Хáалем джамп),"один из стилей фортепиано игры в джазе; буквально, гарлемский акцент (гарлем - негр, район в Нью-Йорке)"
"Harmonic (англ. хамóник), Harmonique (фр. армоник), Harmonisch (нем. хармóниш)","гармонический, гармоничный"
Harmonic tone (англ. хамóник тóун),"обертон, флажолет"
"Harmonica (фр. армóника, англ. хамóникэ)",стеклянная гармоника
"Harmonie (фр. армони), Harmonie (нем. хармони), Harmony (англ. хáамэни)","гармония, созвучие"
Harmonie (фр. армони),духовой оркестр
Harmonielehre (нем. хармонилéрэ),учение о гармонии
Harmoniemusik (нем. хармонимузик),1) соч. для духового оркестра; 2) духовой оркестр
Harmonieorchester (нем. хармониоркэстэр),духового оркестра
Harmonieux (фр. армоньё),"гармонично, созвучно"
Harmon ika (нем. хармóника),"гармоника, гармонь"
"Harmonique (фр. армоник), son harmonique (фр. сон армоник)","обертон, флажолетный звук"
"Harmonisation (фр. армонизасьóн, англ. хамонизэйшн)",гармонизация
"Harmonium (фр. армониóн, англ. хамóуньэм), Harmonium (нем. хармóниум)",фисгармония
Harrnon mute (англ. хáамон мьют),"сурдина «хармон» для медных инструментов в джаз, музыке"
"Harp (англ. хáап), Harpe (фр. арп)",арфа
Harpeggiert (нем. харпэджирт),арпеджированно
Harpsichord (англ. хáпсикод),клавесин
Hart (нем. харт),"жестко, твердо, отрывисто"
Hast (нем. хает),торопливость
"Hastig (хáстих), mit Hast (мит хаст)","торопливо, поспешно"
Hat (англ. хэт),"чашечная сурдина; буквально шляпа; in hat (ин хэт) - играть с сурдиной (термин джаз, музыки)"
Hativement (фр. ативмáн),торопливо
Hauch (нем. хáух),"дуновение, wie ein Hauch - как дуновение"
"Hauptklavier (нем. хáуптклавир), Hauptmanual (хáуптмануáль); Hauptwerk (хáуптвэрк)",главная клавиатура органа
Hauptsatz (нем. хáуптзац),главная партия
Hauptton (нем. хáупттон),"1) основной (нижний) звук аккорда; 2) звук, окруженный мелизмами"
Hauptzeitmass (нем. хáуптцáйтмас),"главный, т. е. начальный темп произведения или части цикла"
Hausmusik (нем. хáусмузик),домашняя музыка
Hausse (фр. ос),"колодочка смычка; то же, что talon"
Hausser la note (фр. оссэ ля нот),повысить звук
Haut (фр. о),высокий
Haute contre (от контр),контральто
Haut dessus (о дэссю),высокое сопрано
Haute taille (от тай),тенор
Hautbois (фр. обуá),гобой
"Hautbois baryton (basse) (обуа баритон, бас)",баритоновый (басовый) гобой
Hautbois d'amour (обуá д'амур),гобой д'амур
Hautbois de chasse (обуá дэ шас),охотничий гобой (старинный гобой)
Hautbois de Poitou (обуá дэ пуату),гобой из Пуату (старинный гобой)
Hautboy (англ. óубой),гобой
Hauteur (фр. отэр),высота [звука]
Hauteur indeterminee (отэр эндэтерминэ),неопределенная высота [звука]
Head (англ. хэд),1) головка флейты; 2) головка ноты
Heavy (англ. хэви),тяжелый
Heavely (хэвили),тяжело
"Heckelphon (нем. хэкельфон), Heckelphone (фр. экельфóн)",геккельфон - деревянный духовой инструмент
Heftig (нем. хэфтих),"бурно, стремительно"
Heimlich (нем. хáймлих),"тайно, скрытно, таинственно"
Heiter (нем. хáйтэр),"ясно, весело, радостно"
Helicon (греч. хэликóн),геликон (медный духовой инструмент)
Hell (нем. хэль),"светло, звонко, прозрачно"
Hemiola (лат. хэмиóла),в мензуральной нотации группа мелких нот
Hemitonium (греч.,лат. хэмитóниум) – полутон
Heptachord urn (греч.,"лат. хэптахóрдум) - гептахорд, последовательность из 7 ступ, диатонической гаммы"
Heraufstrich (нем. хэрáуфштрих),движение смычком вверх
"Heraus (нем. хэрáус), Hervor (хэрфóр)","вне, наружу; обозначает выделение какого-либо голоса"
Herdenglocke (нем. хэрдэнглокэ),альпийский колокольчик
"Heroic (англ. хирóуик), héroique (фр. эроик), Heroisch (нем. хэрóиш)",героический
Hervortretend (нем. хэрфóртрэтэнд),"выделяя, выступая на первый план"
